id;tracking_code;date;details;invoice_id
1;Mouse Villages;2022-03-03T13:45:38;unleash integrate;1
2;Gloves Account Belarussian;2022-03-03T23:45:59;Orchestrator Stravenue;2
3;Gorgeous Checking;2022-03-03T05:04:31;SSL zero;3
4;user-facing turquoise;2022-03-03T18:54:39;Iran Garden auxiliary;4
5;experiences multi-tasking Tasty;2022-03-03T06:22:32;Viaduct Bedfordshire;5
6;Shoes Avon;2022-03-04T01:44:05;Lilangeni;6
7;Music Handmade;2022-03-03T11:21:43;Estate red;7
8;Officer mobile Specialist;2022-03-03T21:11:46;system;8
9;bypass;2022-03-04T02:44:04;Streamlined;9
10;invoice Quality-focused hack;2022-03-03T07:04:53;wireless Borders;10
